['7. тур', 'HN Star', '3:1', 'YN Yukun', '10.36', '9.77', '79.86', '2023-06-17']
['7. тур', 'JX Dark Horse', '1:1', 'HN Billows', '79.60', '10.35', '10.05', '2023-06-17']
['Финал', 'Леванте', '0:1 д.в.', 'Алавес', '48.05', '29.71', '22.24', '2023-06-17']
['Финал', 'РМ Кастилья', '1:1', 'Eldense', '52.54', '25.60', '21.86', '2023-06-17']
['30. тур', 'PAO Rouf', '1:2', 'Kallithea', '8.90', '7.30', '83.80', '2023-06-18']
['30. тур', 'PAE Chania', '4:2', 'Олимпиакос B', '39.19', '22.69', '38.13', '2023-06-18']
['30. тур', 'AO Episkopi', '3:0', 'PASA Irodotos', '90.61', '2.37', '7.02', '2023-06-18']
['30. тур', 'PS Kalamata', '0:1', 'AEK Афины B', '60.17', '19.14', '20.69', '2023-06-18']
['30. тур', 'Аполлон Смирнис', '0:0', 'AE Kifisias', '16.41', '15.91', '67.68', '2023-06-18']
['30. тур', 'GS Ilioupolis', '2:3', 'OF Ierapetras', '19.70', '26.60', '53.69', '2023-06-18']
['30. тур', 'AO Egaleo', '1:1', 'Proodeftiki', '40.69', '27.97', '31.35', '2023-06-18']
['7. тур', 'FC Futura', '4:1', 'FC Kiffen 08', '6.73', '12.52', '80.76', '2023-06-18']
['19. тур', 'Ривер Плейт', '1:0', 'Дефенса', '61.93', '17.94', '20.13', '2023-06-18']
['16. тур', 'Douglas Haig', '2:1', 'Defensores (VR)', '67.07', '20.00', '12.94', '2023-06-18']
['16. тур', 'San Martín (M)', '1:0', 'Sp. Peñarol', '59.94', '25.70', '14.37', '2023-06-18']
['16. тур', 'Union (S)', '1:1', 'Sport. Belgrano', '29.33', '29.67', '41.00', '2023-06-18']
['16. тур', 'Ferro (GP)', '1:0', 'Estudiantes SL', '39.89', '31.31', '28.80', '2023-06-18']
['16. тур', 'Cipolletti', '1:0', 'Club Germinal', '36.77', '31.02', '32.21', '2023-06-18']
['16. тур', 'Villa Mitre', '1:0', 'Olimpo', '42.56', '32.72', '24.72', '2023-06-18']
['16. тур', 'Gimnasia CdU', '0:0', 'DEPRO', '28.89', '30.16', '40.95', '2023-06-18']
['16. тур', 'Atenas', '0:0', 'Argentino (MM)', '35.03', '26.63', '38.35', '2023-06-18']
